time,accn_or_7
0,0.008527844
1,0.423549601
2,0.01299481
3,-0.265175349
4,0.237155289
5,0.590857784
6,-0.092994112
7,-0.4069
8,0.279388423
9,0.436950499
10,-0.352890319
11,-0.612380439
12,0.398778244
13,0.409336527
14,-0.354514671
15,-0.223754391
16,0.371164271
17,0.307408483
18,-0.197358683
19,-0.024365269
20,0.153907285
21,0.142536826
22,0.118171557
23,0.05969491
24,-0.139694212
25,0.052385329
26,0.286698004
27,-0.047106188
28,-0.120608084
29,0.05969491
30,0.236749202
31,0.039390519
32,-0.109643713
33,-0.004060878
34,0.153907285
35,0.029238323
36,-0.154719461
37,0.142130739
38,0.25949012
39,-0.006497405
40,-0.294007585
41,0.114516766
42,0.359387725
43,-0.242434431
44,-0.477153194
45,0.104770659
46,0.382534731
47,-0.248525749
48,-0.397966068
49,0.177054291
50,0.458067066
51,0.030050499
52,-0.263957086
53,0.159998603
54,0.243246607
55,0.068628842
56,0.025177445
57,0.011776547
58,0.065786228
59,0.10639501
60,0.07472016
61,-0.169338623
62,-0.117359381
63,0.064974052
64,-0.127105489
65,0.024365269
66,0.611974351
67,-0.437762675
68,-1.332374152
69,1.146792016
70,1.621102595
71,-1.844856986
72,-1.13298503
73,2.637540419
74,0.611162176
75,-2.26962485
76,0.348829441
77,1.710848004
78,-0.562837725
79,-0.682633633
80,0.956742914
81,-0.283449301
82,-0.698877146
83,1.238161776
84,0.019898303
85,-1.596737325
86,0.404463473
87,1.545570259
88,-0.786592116
89,-1.333186327
90,1.068417066
91,1.096843214
92,-0.925474152
93,-0.644867465
94,1.050549202
95,0.319997206
96,-0.659080539
97,0.195328244
98,0.464564471
99,-0.141724651
100,-0.138882036
101,0.423143513
102,-0.003248703
103,-0.354514671
104,0.315124152
105,0.298880639
106,-0.361012076
107,-0.024365269
108,0.533193313
109,-0.045887924
110,-0.31553024
111,0.16243513
112,0.347611178
113,-0.082841916
114,-0.273297106
115,0.158374251
116,0.231063972
117,-0.14375509
118,-0.33217984
119,0.070253194
120,0.214008283
121,-0.207916966
122,-0.309438922
123,0.168932535
124,0.335022455
125,-0.112486327
126,0.017867864
127,0.214414371
128,0.068628842
129,0.069441018
130,0.067004491
131,-0.051167066
132,0.009746108
133,0.238373553
134,-0.058882735
135,-0.315936327
136,0.045481836
137,0.202637824
138,-0.190861277
139,-0.198576946
140,0.125887226
141,0.126293313
142,-0.050760978
143,-0.043451397
144,0.045075749
145,-0.014213074
146,0.157968164
147,0.155937725
148,0.021928743
149,0.175023852
150,0.246901397
151,-0.00568523
152,-0.153907285
153,0.125481138
154,0.083248004
155,-0.16608992
156,-0.126293313
157,0.123044611
158,0.133196806
159,-0.180302994
160,-0.058476647
161,0.306596307
162,0.165277745
163,-0.110455888
164,0.045075749
165,0.277764072
166,0.116953293
167,-0.024365269
168,0.074314072
169,0.05604012
170,0.067816667
171,-0.062131437
172,0.112892415
173,-0.068222754
174,0.032893114
175,-0.072689721
176,0.029238323
177,0.624156986
178,-0.47593493
179,-0.827606986
180,0.385377345
181,1.595112974
182,-0.989636028
183,-1.296232335
184,1.704756687
185,0.890956687
186,-1.178872954
187,-0.878774052
188,1.686482735
189,0.000812176
190,-0.872682735
191,0.559589022
192,0.039796607
193,-0.250962275
194,0.121826347
195,0.581517764
196,-1.055422255
197,-0.077156687
198,1.156944212
199,-0.287916267
200,-0.941717665
201,0.187206487
202,1.189837325
203,-0.713496307
204,-0.818673054
205,0.538878543
206,0.54131507
207,-0.319997206
208,-0.389032136
209,0.629436128
210,0.073095808
211,-0.155937725
212,0.153907285
213,0.170150798
214,-0.007309581
215,0.102334132
216,0.323651996
217,-0.267205788
218,-0.053197505
219,0.23512485
220,-0.052791417
221,-0.479995808
222,-0.118171557
223,0.309032834
224,-0.080405389
225,-0.186394311
226,0.041827046
227,0.321621557
228,-0.025177445
229,-0.041420958
230,0.129135928
231,0.313905888
232,0.095836727
233,-0.140506387
234,0.321215469
235,0.144973353
236,0.03736008
237,0.005279142
238,0.18476996
239,0.078781038
240,0.004060878
241,0.14740988
242,-0.141724651
243,-0.013400898
244,0.126293313
245,0.113704591
246,-0.265175349
247,0.009746108
248,0.37887994
249,-0.040608782
250,-0.111268064
251,0.117765469
252,0.146191617
253,-0.202231737
254,-0.026801796
255,0.170556886
256,-0.074314072
257,-0.081217565
258,0.114110679
259,0.196952595
260,-0.08406018
261,0.035329641
262,0.195328244
263,-0.082435828
264,0.001624351
265,0.191267365
266,-0.011370459
267,-0.239185729
268,0.121826347
269,0.185988224
270,-0.250556188
271,-0.201013473
272,0.257459681
273,0.191673453
274,-0.280200599
275,-0.131978543
276,0.176242116
277,0.064974052
278,-0.196546507
279,0.062131437
280,0.198170858
281,0.043857485
282,0.033299202
283,0.142942914
284,0.018273952
285,-0.065786228
286,-0.065786228
287,0.127511577
288,0.740298104
289,-0.326494611
290,-1.71531497
291,0.126293313
292,2.599774251
293,-0.721618064
294,-2.65784481
295,1.913485828
296,2.578251597
297,-1.85338483
298,-1.865567465
299,2.170539421
300,0.949839421
301,-1.244659182
302,0.24081008
303,0.420300898
304,-0.639994411
305,0.487305389
306,0.919788922
307,-1.707599301
308,-0.726897206
309,1.93379022
310,0.379286028
311,-1.92241976
312,-0.204262176
313,2.149828942
314,0.042639222
315,-1.606483433
316,0.201825649
317,1.361612475
318,-0.10070978
319,-0.696034531
320,0.615223054
321,0.413803493
322,-0.284261477
323,0.101521956
324,0.514919361
325,-0.179084731
326,-0.34151986
327,0.491366267
328,-0.03167485
329,-0.339489421
330,0.210353493
331,0.269236228
332,-0.289540619
333,-0.247307485
334,0.323651996
335,0.092994112
336,-0.301317166
337,-0.153501198
338,0.410148703
339,0.045481836
340,-0.555528144
341,-0.227815269
342,0.355326846
343,0.047918363
344,-0.590857784
345,0.039390519
346,0.681821457
347,0.197358683
348,-0.30050499
349,0.240403992
350,0.367509481
351,-0.06538014
352,-0.02802006
353,-0.003248703
354,-0.036953992
355,0.131572455
356,0.161622954
357,-0.352890319
358,-0.304565868
359,0.211165669
360,0.103552395
361,-0.270860579
362,-0.096242814
363,0.286698004
364,0.134821158
365,-0.11208024
366,-0.022740918
367,0.210353493
368,0.156343812
369,0.056852295
370,0.192079541
371,0.287916267
372,0.187612575
373,-0.066192315
374,-0.086902794
375,0.140100299
376,0.045481836
377,-0.342332036
378,-0.214414371
379,0.216038723
380,0.119795908
381,-0.265987525
382,-0.194516068
383,0.428422655
384,0.4069
385,-0.122232435
386,-0.103552395
387,0.245683134
388,0.375631238
389,-0.018273952
390,-0.077562774
391,0.121826347
392,0.074314072
393,0.002030439
394,-0.08771497
395,-0.108831537
396,-0.131166367
397,0.123450699
398,0.03167485
399,-0.09705499
400,0.626187425
401,0.002030439
402,-1.451763972
403,0.501924551
404,2.29764491
405,-1.167908583
406,-2.211554291
407,2.531957585
408,1.972774651
409,-2.840990419
410,-0.945778543
411,2.511247106
412,0.054009681
413,-2.041403493
414,0.61603523
415,0.967301198
416,-1.260496607
417,0.415021756
418,0.983138623
419,-1.372576846
420,-0.386595609
421,2.007698204
422,0.011776547
423,-2.010540818
424,0.806084331
425,1.885871856
426,-0.89217495
427,-1.580087725
428,1.194304291
429,1.143543313
430,-1.266994012
431,-0.337052894
432,0.953494212
433,0.169338623
434,-0.663953593
435,0.235937026
436,0.514513273
437,-0.336646806
438,0.099897605
439,0.320809381
440,-0.199389122
441,-0.137257685
442,0.483650599
443,0.030456587
444,-0.574208184
445,0.046294012
446,0.404869561
447,-0.068628842
448,-0.45725489
449,0.044263573
450,0.492990619
451,0.000406088
452,-0.36953992
453,0.144161178
454,0.506797605
455,0.007715669
456,-0.326900699
457,0.246901397
458,0.483650599
459,-0.036953992
460,-0.169744711
461,0.084872355
462,0.169338623
463,-0.071471457
464,-0.21644481
465,-0.170556886
466,0.036141816
467,0.148628144
468,-0.098273253
469,-0.264363174
470,0.047512275
471,0.379286028
472,-0.015837425
473,-0.099085429
474,0.192079541
475,0.261520559
476,0.199389122
477,-0.037766168
478,-0.006091317
479,0.113704591
480,0.152689022
481,-0.117359381
482,-0.164871657
483,0.156343812
484,0.123450699
485,-0.172993413
486,-0.276545808
487,0.148628144
488,0.148628144
489,-0.258271856
490,-0.163653393
491,0.356951198
492,0.300098902
493,-0.300911078
494,-0.05035489
495,0.499894112
496,0.289134531
497,-0.309438922
498,-0.07837495
499,0.341925948
500,0.077156687
501,-0.186800399
502,-0.047512275
503,0.17177515
504,-0.021522655
505,-0.010152196
506,0.019898303
507,-0.078781038
508,0.008121756
509,0.204668263
510,-0.121014172
511,0.178678643
512,0.590045609
513,-0.611974351
514,-0.517355888
515,1.251968762
516,0.469031437
517,-1.855821357
518,0.209947405
519,1.805466467
520,-0.787810379
521,-1.275521856
522,0.787404291
523,0.838165269
524,-0.904763673
525,0.035735729
526,0.749232036
527,-0.619283932
528,0.075938423
529,0.932377645
530,-0.4536001
531,-0.784561677
532,0.916134132
533,0.71674501
534,-0.877555788
535,-0.416646108
536,0.882428842
537,0.363042515
538,-0.818266966
539,-0.150252495
540,0.627405689
541,-0.036547904
542,-0.392280838
543,0.158780339
544,0.362230339
545,-0.179084731
546,-0.002436527
547,0.415427844
548,-0.015837425
549,-0.130354192
550,0.316748503
551,0.138882036
552,-0.268017964
553,-0.017055689
554,0.144161178
555,-0.086902794
556,-0.224566567
557,0.082029741
558,0.208729142
559,-0.108425449
560,-0.123450699
561,0.1567499
562,0.205074351
563,-0.148628144
564,-0.125481138
565,0.252992715
566,0.228221357
567,-0.177054291
568,-0.092181936
569,0.359793812
570,0.060507086
571,-0.155125549
572,0.032487026
573,0.019898303
574,-0.008121756
575,0.017055689
576,-0.030456587
577,-0.141724651
578,0.023147006
579,0.224972655
580,-0.043451397
581,-0.168120359
582,0.17177515
583,0.209541317
584,-0.063755788
585,-0.10274022
586,0.10274022
587,0.099491517
588,-0.008933932
589,0.03736008
590,0.075532335
591,0.075532335
592,0.05969491
593,0.108425449
594,0.034923553
595,-0.02802006
596,0.066192315
597,0.007715669
598,-0.050760978
599,0.070659281
600,0.166902096
601,-0.097461078
602,-0.128323752
603,0.221317864
604,0.025989621
605,-0.321215469
606,-0.021116567
607,0.394311277
608,0.068222754
609,-0.16608992
610,0.18111517
611,0.324058084
612,0.091775848
613,-0.040608782
614,0.265175349
615,0.123450699
616,0.05035489
617,0.14740988
618,0.016243513
