Country ,year,gdp per capita,   gdp(10k),private consumption % of gdp,investment % of gdp,gross savings rate,house prices growth,nominal residential proprty price index,retail sales growth ,motor vehicles sales growth,consumer confidence growth ,household expenditure per capita,household income per capita,direct investment abroad,current account balance,external debt (10K's),excghange rate against USD,global competitivenness index,minerals production,industrial prduction index growth,forecast goverment expenditure,consumer price index growth,non performing loans (1k's),foreign exchange reserves (10k),electricity production,Natural Gas Imports(in K's),Natural Gas Consumtion(in K's),crude oil imports(100's),Coal poduction (in metric tons),Coal Consumption (in metric tons),crude oil exports,p/e ratios,equity market index,population (in millions),unemployment rate,forecast unemployment rate,trade exports (100k),total imports(1k),liquid assets ratio,Money supply M1 (1k's),Money supply M2 (1k's),Money supply M4 (1M's),tourism revenue ,telecommunication equipment: exports( in Millions),telecommunication equipment: imports( in Millions),subscriber mobile,teledensity mobile,India labour force participation rate ,labour productivity growth,Tourist Arrivals (in K's),Tourism revenue growth,Silver Production,Gold Production (in K's),Gold reserves (in k),currency issued (coins: INR1 (in bn)),Interest rates (in %)
India,1995-1,340.00,8.00,65.00,,24.00,,,,,,174.67,183.75,0.00,"-3,000.00",10.00,35.00,,,,,10.00,12.00,10.00,30.00,,1.75,5.00,130.00,130.00,,40.00,35.00,900.00,2.60,,0.60,2.00,,60.00,70.00,5.00,,0.10,0.80,0,0.00,58.30,5.60,200.00,,40.00,2.20,3.50,7.00,12.00
India,1995-2,350.00,8.00,63.00,,24.00,,,,,,174.67,183.765,0.00,"-2,500.00",11.00,36.00,,,,,9.80,12.00,10.50,31.00,,1.76,7.00,132.00,133.00,,38.00,35.00,920.00,2.60,,0.70,2.20,,61.00,75.00,5.00,,0.12,0.90,0,0.00,58.35,5.60,180.00,,42.00,2.25,3.70,7.00,12.00
India,1996-1,370.00,9.00,67.00,,24.00,,,,,,183.25,192.065,"1,000.00","-2,000.00",10.50,36.00,,,,,9.92,12.50,11.00,33.00,,1.90,8.00,148.00,145.00,,30.00,30.00,925.00,2.58,,0.50,2.30,,55.00,50.00,8.00,,0.08,1.00,0,0.00,58.20,5.70,205.00,,38.00,2.45,4.20,8.00,12.00
India,1996-2,385.00,9.00,66.00,,24.00,,,,,,183.25,192.065,0.00,"-2,050.00",11.00,35.00,,,,,9.94,12.50,12.00,34.00,,1.92,8.20,150.00,148.00,,22.00,35.00,930.00,2.58,,0.90,1.80,,51.00,55.00,10.00,,0.10,1.15,0,0.00,58.25,5.70,190.00,,39.00,2.48,4.50,8.00,12.00
India,1997-1,400.00,9.50,64.00,,24.50,,,,,,195.22,201.965,0.00,"-2,200.00",10.80,37.00,,,,,9.96,12.40,14.00,34.00,,2.10,8.80,148.00,152.00,,19.00,30.00,945.00,2.60,,1.00,2.50,,60.00,62.00,12.50,,0.14,1.20,0,0.00,58.05,1.90,215.00,,50.00,2.75,4.60,8.50,12.00
India,1997-2,410.00,9.50,65.00,,24.50,,,,,,195.22,201.965,0.00,"-2,100.00",10.78,36.00,,,,,10.00,12.40,18.00,35.00,,2.20,9.50,147.50,155.00,,21.00,32.00,955.00,2.60,,1.05,2.30,,62.00,65.00,12.80,,0.15,1.22,0,0.00,58.10,1.90,180.00,,52.00,2.78,4.75,8.50,12.00
India,1998-1,430.00,10.20,65.00,,23.50,,,,,,201.89,211.065,10.00,"-1,400.00",10.60,39.00,,,,,8.00,12.20,23.00,37.00,,2.25,10.80,145.00,150.00,,20.50,38.00,960.00,2.64,,1.10,2.70,,70.00,70.00,15.00,,0.12,1.24,0,0.00,57.80,4.00,222.00,,55.00,2.40,3.80,9.00,12.00
India,1998-2,435.00,10.20,63.00,,23.50,,,,,,201.89,211.065,15.00,-943.00,10.40,40.00,,,,,6.00,12.20,25.00,38.00,,2.27,12.00,142.50,155.00,,21.00,40.00,965.00,2.64,,1.10,3.10,,74.00,72.00,15.60,,0.13,1.22,0,0.00,57.82,4.00,175.00,,56.00,2.42,3.85,9.00,12.00
India,1999-1,450.00,11.50,68.00,,23.00,,,,,,217.46,220.165,20.00,0.00,10.45,40.00,,,,,4.00,12.60,28.00,39.00,,2.30,13.30,142.00,156.00,,21.00,30.00,975.00,2.72,,1.14,3.40,,75.00,80.00,18.00,,0.09,1.23,0,0.00,57.60,6.60,230.00,,60.00,2.50,3.00,1.00,12.00
India,1999-2,467.00,11.50,61.00,,23.00,,,,,,217.46,220.165,10.00,645.00,10.10,41.00,,,,,6.00,12.60,29.00,41.00,,2.30,14.50,142.80,162.00,,23.00,31.00,980.00,2.72,,1.16,3.60,,77.00,82.00,18.50,,0.10,1.24,0,0.00,57.65,6.60,156.00,,60.00,2.55,3.30,11.50,12.00
